      Iteration         Energy           Time
            309      3.1633888      140.45589
            310      3.1671668      151.95999
            311      3.1642496      140.44489
            312      3.1627932      133.72031
            313      3.1632618      149.64663
            314      3.1671990      149.80222
            315      3.1642166      129.13413
            316      3.1629360      123.35246
            317      3.1666949      110.89787
            318      3.1597691      112.82713
            319      3.1676639      120.57611
            320      3.1627743      128.82995
            321      3.1658213      128.68696
            322      3.1609086      132.64142
            323      3.1631040      124.33866
            324      3.1642050      124.12678
            325      3.1586549      117.08789
            326      3.1617100      119.95632
            327      3.1603718      124.18733
            328      3.1641823      127.30600
            329      3.1580425      115.68557
            330      3.1615381      124.20380
            331      3.1609786      132.28574
            332      3.1613239      131.76565
            333      3.1623937      134.48196
            334      3.1578066      119.14659
            335      3.1628076      126.77714
            336      3.1559975      120.50308
            337      3.1619367      130.01327
            338      3.1609061      136.43331
            339      3.1597165      146.45066
            340      3.1592793      128.56808
            341      3.1615746      133.40576
            342      3.1602529      118.89528
            343      3.1597503      119.95036
            344      3.1610177      95.556991
            345      3.1607332      109.25258
            346      3.1597693      137.33362
            347      3.1602054      142.77776
            348      3.1568906      134.98516
            349      3.1573591      130.30323
            350      3.1542155      135.49937
            351      3.1563002      117.25866
            352      3.1582439      140.49527
            353      3.1593145      160.02038
            354      3.1577564      156.69025
            355      3.1619694      132.47106
            356      3.1560637      125.69513
            357      3.1599937      135.51001
            358      3.1569528      113.57807
            359      3.1549140      106.43405
            360      3.1555443      103.03465
            361      3.1572954      101.58368
            362      3.1559509      132.97603
            363      3.1523850      138.57071
            364      3.1549709      131.94224
            365      3.1589065      127.71088
            366      3.1568690      133.10113
            367      3.1583614      127.88128
            368      3.1548941      130.45611
            369      3.1590593      144.31102
            370      3.1575749      138.66276
            371      3.1518198      139.32595
            372      3.1592431      118.33341
            373      3.1574376      115.11192
            374      3.1516979      128.64076
            375      3.1554018      142.05477
            376      3.1585319      125.97122
            377      3.1581230      129.43165
            378      3.1513693      148.35992
            379      3.1531115      130.13259
            380      3.1575271      147.68582
            381      3.1589128      137.44008
            382      3.1546711      138.28710
            383      3.1508925      122.14808
            384      3.1538403      112.23249
            385      3.1566017      110.25308
            386      3.1517188      115.72397
            387      3.1568938      120.03362
            388      3.1501266      126.33783
            389      3.1537347      120.11719
            390      3.1547926      133.13282
            391      3.1558721      141.03349
            392      3.1486083      131.02542
            393      3.1534038      137.43792
            394      3.1518852      133.94982
            395      3.1505590      139.76170
            396      3.1511265      129.35371
            397      3.1507105      141.39808
            398      3.1508563      149.00254
            399      3.1541621      154.57887
            400      3.1528038      156.23341
            401      3.1511975      133.06547
            402      3.1532555      127.53189
            403      3.1521764      117.13675
            404      3.1523792      134.13385
            405      3.1498603      135.69378
            406      3.1501454      150.70630
            407      3.1493735      141.46496
            408      3.1520778      129.50623
            409      3.1512703      144.19466
            410      3.1583299      146.89642
            411      3.1561694      149.79989
            412      3.1476129      135.03466
            413      3.1490145      123.27368
            414      3.1528234      119.94809
            415      3.1488424      122.81081
            416      3.1465583      131.10190
            417      3.1512382      113.77229
            418      3.1480333      121.45331
            419      3.1481400      114.77184
            420      3.1496825      122.98176
            421      3.1476695      112.07418
            422      3.1460614      138.44365
            423      3.1461964      136.07696
            424      3.1481975      109.59734
            425      3.1468768      110.14602
            426      3.1496097      117.56273
            427      3.1482391      117.74303
            428      3.1499641      121.51098
            429      3.1447487      123.89542
            430      3.1463485      137.80460
            431      3.1453512      132.43691
            432      3.1502016      125.88702
            433      3.1451388      139.89133
            434      3.1462133      145.23872
            435      3.1474153      140.03956
            436      3.1424753      144.17274
            437      3.1477421      142.22193
            438      3.1527098      135.60128
            439      3.1480185      139.16305
            440      3.1454984      136.37431
            441      3.1481743      137.04159
            442      3.1443550      129.98057
            443      3.1435819      131.93762
            444      3.1486237      126.15944
            445      3.1454483      126.61435
            446      3.1472158      136.14415
            447      3.1456617      133.43135
            448      3.1466801      120.37726
            449      3.1461378      113.73263
            450      3.1476165      123.80848
            451      3.1474357      119.76805
            452      3.1446525      126.22238
            453      3.1465963      116.17149
            454      3.1427754      122.09652
            455      3.1419213      109.35281
            456      3.1479856      111.93593
            457      3.1451466      138.55917
            458      3.1426472      132.33472
            459      3.1433773      118.01828
            460      3.1449163      123.71574
            461      3.1450133      138.66196
            462      3.1420561      129.88370
            463      3.1456613      125.11953
            464      3.1416560      122.67570
            465      3.1416224      132.86518
            466      3.1410843      161.17933
            467      3.1433115      158.31690
            468      3.1418746      147.42070
            469      3.1459002      149.11872
            470      3.1395867      143.11018
            471      3.1430834      135.77467
            472      3.1411260      132.06375
            473      3.1413783      137.00177
            474      3.1419563      120.29689
            475      3.1414639      118.97247
            476      3.1366773      131.26077
            477      3.1405934      137.19415
            478      3.1443474      137.37728
            479      3.1374791      134.75501
            480      3.1418226      143.58474
            481      3.1420486      136.10167
            482      3.1355556      132.65673
            483      3.1419547      146.74609
            484      3.1396917      123.28296
            485      3.1398009      136.89484
            486      3.1440838      149.86132
            487      3.1381180      148.92152
            488      3.1365448      136.36881
            489      3.1394591      128.09652
            490      3.1368682      149.78662
            491      3.1378477      153.09704
            492      3.1367356      152.00208
            493      3.1405727      144.99278
            494      3.1405034      134.24152
            495      3.1353952      124.12451
            496      3.1430264      133.02168
            497      3.1402311      130.66875
            498      3.1307955      126.53821
            499      3.1375388      136.37239
            500      3.1368770      127.34460
