        Energy   CumulativeEnergy
      2.4142150      987.41394
      2.4142150      989.82815
      2.4142150      992.24237
      2.4142150      994.65658
      2.4142150      997.07080
      2.4142150      999.48501
      2.4142150      1001.8992
      2.4142150      1004.3134
      2.4142150      1006.7277
      2.4142150      1009.1419
      2.4142150      1011.5561
      2.4142150      1013.9703
      2.4142150      1016.3845
      2.4142150      1018.7987
      2.4142150      1021.2129
      2.4142150      1023.6272
      2.4142150      1026.0414
      2.4142150      1028.4556
      2.4142150      1030.8698
      2.4142150      1033.2840
      2.4142150      1035.6982
      2.4142150      1038.1125
      2.4142150      1040.5267
      2.4142150      1042.9409
      2.4142150      1045.3551
      2.4142150      1047.7693
      2.4142150      1050.1835
      2.4142150      1052.5977
      2.4142150      1055.0120
      2.4142150      1057.4262
      2.4142150      1059.8404
      2.4142150      1062.2546
      2.4142150      1064.6688
      2.4142150      1067.0830
      2.4142150      1069.4972
      2.4142150      1071.9115
      2.4142150      1074.3257
      2.4142150      1076.7399
      2.4142150      1079.1541
      2.4142150      1081.5683
      2.4142150      1083.9825
      2.4142150      1086.3968
      2.4142150      1088.8110
      2.4142150      1091.2252
      2.4142150      1093.6394
      2.4142150      1096.0536
      2.4142150      1098.4678
      2.4142150      1100.8820
      2.4142150      1103.2963
      2.4142150      1105.7105
      2.4142150      1108.1247
      2.4142150      1110.5389
      2.4142150      1112.9531
      2.4142150      1115.3673
      2.4142150      1117.7815
      2.4142150      1120.1958
      2.4142150      1122.6100
      2.4142150      1125.0242
      2.4142150      1127.4384
      2.4142150      1129.8526
      2.4142150      1132.2668
      2.4142150      1134.6811
      2.4142150      1137.0953
      2.4142150      1139.5095
      2.4142150      1141.9237
      2.4142150      1144.3379
      2.4142150      1146.7521
      2.4142150      1149.1663
      2.4142150      1151.5806
      2.4142150      1153.9948
      2.4142150      1156.4090
      2.4142150      1158.8232
      2.4142150      1161.2374
      2.4142150      1163.6516
      2.4142150      1166.0658
      2.4142150      1168.4801
      2.4142150      1170.8943
      2.4142150      1173.3085
      2.4142150      1175.7227
      2.4142150      1178.1369
      2.4142150      1180.5511
      2.4142150      1182.9654
      2.4142150      1185.3796
